layer,scale,gap_threshold_D,connected_count_K,connected_max_U,span_amplification_A,eta,phi,utilization_b,actual_layer_growth,first_blocking_gap_ratio
1,1,43690,93284,231673365,1241.770329157889658942899869751885381659135860039556834810014632812876875331650291852256829986010388,0.05684429724416313214138590542382852615092657925748523775018157179356225589167726287341096525117139460,1,0.05685440771961744780701123226195444319518716856359814459224889042386944823497048603616088848679072063,5303.663424124513618677042801556420233463035019455252918287937743190661478599221789883268482490272374,1.138521400778210116731517509727626459143968871595330739299610894941634241245136186770428015564202335
2,2,115858527,1968508,5822814765625,1478992.273492734978149689549061916197931681743656043982560391565691266098808361156866306071986009705,0.02553099778024060119404030997387115155717540516015913781240512584130240402476159208346276172263013879,0.9999999956843918976960931943485989842223741364225434334127887133728676121833155526683178327119684824,0.02553149269903878938736973519667736695127703859297176684898481091174147952145934974699557003080467200,50258.97316149214825814181006227616693989141196361225978812824114306130811130842311110850256576927408,1.026966828259434025084748401815949205016217753225880387724936292345577637112545026573659097184965937
3,4,2911465312076,21512180,836777212328950893,19448917584.77914553009377780619578783265544990455290687770618500092006019194847272448614516255779662,0.01336022589866743798700121484589581353225950793134852507451973448876941660887974849877760855313102691,0.9999999999999141325850721821652904673555309052104347271294930516611204450478575944184564814851528251,0.01336027176290358505113484557067710004613962043759019137624385280763708532334134948773894302831583416,287408.5843727710071689070533234540687476638661247394007103968617352471617881626349644974231738183496,1.167477230098378630626983483728467397669148832289829695469156578137635767944722015508663950319921084
4,8,418390061897131484,115705564,403852959672027099609375,1745175199254904.884540729106772813046280181678558611401603000706184711679832059242337124091703680264,0.008342335780157884459282269239824009545333846236986885368097159539126212582305427893157393544262900560,0.9999999999999999985061786669453272464037695047620241437727276044855148593077841898393221390370123759,0.008342344350684844147005133114511126789530038189684510216378364733549098282202446771848558403664749574,965255.6665205480289661719849147196239692091532090234263343309452713728719827635481191635445315279200,1.045947913774646754643263658768187094210220018064763510782948315453037436905836039735922277109324257
5,16,201926689031044498370429,322620612,289689580632924775188432421875,448963225390397561732.4010029579278756031990225150261362020882537444449670569172546497389550698313025,0.004446794297959954384455694254280823834549483079887056362561804793168790541832534310717235981705740420,0.9999999999999999999999959762624549591605182020173448676067928114056704744189645030672049005203868632,0.004446797383792556475630940527152357666055567118742062022335990523766943994080527024339204999496436175,1434628.497845950835005173594636436774618096355911207838530056954739882540506927999955380236870204930,1.060292628252816032895867327282001451033277341261490243822877997085707586361522876374966462601239150
6,32,144844891279806903116465396152,543303166,183260588419262049532920823974609375,168654077554111038520095668.3682430845325159438998335819561868538386051424543006827005133655898053110,0.002328754240604848476145772893402748004493345108869591449927298687566130062322885562809615935986319856,0.9999999999999999999999999999971952756054390710055303015448182208982134187780758984030971798626708070,0.002328756076911548597765258177667027867334573465043109271908535825583220063339679832031557362405914080,1265220.551756539932040273890499144911800129612152085058954971648372323082470388649508773158937299859,1.152310345918147789402709246220679385554977197979003350174338201705314954809535028260832898113723568
7,64,91630366632076664669911970220002763,565913305,1048505126954361423767503734041015625,926383174434063357285412375.4224403686907841552610113622094565900067118849650582830572063357453721076,2.022000364432205940358937419601508630350777385557801636747341001304418298168595018894556500613447088E-8,0.9999999999999999999999999999999999923265067483222321832432805876110925031042883914488963465516981099,2.198705872003359666805853759895268345585128547453720684207747795120766009058582720857438882822920465E-8,12.44276908947034112149159161414861523207230600724512954400588545551003361438768495234908392871265533,
