n,y,tail_prime_count,theorem_hypothesis_2y_le_sqrt_n,maximizing_prime,B_squared,M,M_over_B,supplied_script_span_over_B,supplied_script_to_theorem_ratio
50,3,13,True,5,1.18649418843707399073287206507239113808716960473215E+2,9.65662747460460224760455599935712583715360812561111E+0,8.86528435497037166541093963029354467632502528991794E-1,1.77305687099407433308218792605870893526500505798359E+0,2.00000000000000000000000000000000000000000000000000E+0
100,5,22,True,7,3.53139176226545954766678360623050194515299537817559E+2,1.55672811924425064408428219475454378370966778366549E+1,8.28399485264045619035451657959384995105675730543812E-1,1.65679897052809123807090331591876999021135146108762E+0,2.00000000000000000000000000000000000000000000000000E+0
200,7,42,True,11,1.09505828127272328787212216322033366523665021412071E+3,2.27800050915845201685884639906687283483062151124055E+1,6.88391025597340578188613805589152469087626940815960E-1,1.37678205119468115637722761117830493817525388163192E+0,2.00000000000000000000000000000000000000000000000000E+0
500,11,90,True,13,5.83855011568368548285993251872456694195628305638498E+3,5.12989871492307347210697488313063720961053588952041E+1,6.71361270850906483599125601344474732329386017233065E-1,1.34272254170181296719825120268894946465877203446613E+0,2.00000000000000000000000000000000000000000000000000E+0
1000,15,162,True,17,1.97066412321176752089925211620126490237641827455493E+4,8.64130069937145904476108058451303593354401918838652E+1,6.15563432757844972721442814179376763634656760845599E-1,1.23112686551568994544288562835875352726931352169120E+0,2.00000000000000000000000000000000000000000000000000E+0
2000,22,295,True,23,5.92682483750766078943414782835897778094569606066464E+4,1.39529492608847161240900501015553727270685924010399E+2,5.73132411083050413168918271236883067222879695732398E-1,1.14626482216610082633783654247376613444575939146480E+0,2.00000000000000000000000000000000000000000000000000E+0
5000,35,658,True,37,2.68435629679266667837353763812859845499824022276628E+5,2.49153335972451486661398601301169854309105353514567E+2,4.80890974985914354059725257200490589987742110712449E-1,9.61781949971828708119450514400981179975484221424899E-1,2.00000000000000000000000000000000000000000000000000E+0
10000,50,1214,True,53,7.88338017131810917321277422626529856507937590082361E+5,3.79162877744227635160796802777275017069377875403021E+2,4.27041001991860268477121259989384430148508446438166E-1,8.54082003983720536954242519978768860297016892876332E-1,2.00000000000000000000000000000000000000000000000000E+0
