n,y,admissible_2y_le_sqrt_n,tail_prime_count,band_prime_count,variance,band_variance,standard_deviation,theorem_half_span_M,full_span,maximizing_prime,M_over_B,full_span_over_B,variance_over_n2_logy_over_y
10000,50,True,1214,10,788338.01713181043,313323.59223831393,887.88401108016944,379.16287774422767,758.32575548845534,53,0.42704100199186046,0.85408200398372092,0.10075835648690566
100000,158,True,9555,28,31196522.138167471,13651378.760824833,5585.3846902579116,1568.8750618484828,3137.7501236969656,163,0.28088934761914103,0.56177869523828206,0.097362132773305007
1000000,500,True,78403,73,1177776959.748229,520554449.07673591,34318.75521851323,6192.5975143342903,12385.195028668581,503,0.18044353517209441,0.36088707034418882,0.094758747542524141
10000000,1581,True,664330,197,43630790852.106667,19668939407.216007,208879.84788415246,23279.963509223999,46559.927018447997,1583,0.11145145759650005,0.2229029151930001,0.093649243962209763
