n,y,tail_prime_count,theorem_hypothesis_2y_le_sqrt_n,maximizing_prime,B_squared,M,M_over_B,supplied_script_span_over_B,supplied_script_to_theorem_ratio
2000,2,302,True,3,3.00865963727255544376734937688739091730718611193601E+5,5.47108919756718626314832127987417800914450297795729E+2,9.97441113526009013450928593654967207972098597282274E-1,1.99488222705201802690185718730993441594419719456455E+0,2.00000000000000000000000000000000000000000000000000E+0
2000,3,301,True,5,2.00889553507306128824023337743800715642046818338916E+5,4.01554759152308043462889453639933816061637537889995E+2,8.95913541099506067624701536642807549479853857650864E-1,1.79182708219901213524940307328561509895970771530173E+0,2.00000000000000000000000000000000000000000000000000E+0
2000,5,300,True,7,1.46925386156917399152348540154037488042611972572608E+5,3.21075174594126695342383202668124655390118980381007E+2,8.37641733652709858626071162606488323448535135064329E-1,1.67528346730541971725214232521297664689707027012866E+0,2.00000000000000000000000000000000000000000000000000E+0
2000,7,299,True,11,1.12354035763083613037501694588479509886552681805109E+5,2.37391632007038683862132414218547800682348978539804E+2,7.08224697635181767167531062704907891430576817980280E-1,1.41644939527036353433506212540981578286115363596056E+0,2.00000000000000000000000000000000000000000000000000E+0
2000,10,299,True,11,1.12354035763083613037501694588479509886552681805109E+5,2.37391632007038683862132414218547800682348978539804E+2,7.08224697635181767167531062704907891430576817980280E-1,1.41644939527036353433506212540981578286115363596056E+0,2.00000000000000000000000000000000000000000000000000E+0
2000,20,295,True,23,5.92682483750766078943414782835897778094569606066464E+4,1.39529492608847161240900501015553727270685924010399E+2,5.73132411083050413168918271236883067222879695732398E-1,1.14626482216610082633783654247376613444575939146480E+0,2.00000000000000000000000000000000000000000000000000E+0
2000,25,294,False,29,5.26329239668403065894512489514807961527188045030886E+4,1.17855354049526590951414521132666906192307951987296E+2,5.13713014235962199448049220016465604322608313041234E-1,1.02742602847192439889609844003293120864521662608247E+0,2.00000000000000000000000000000000000000000000000000E+0
2000,50,288,False,53,3.21842923592951535851592570114226909843377649531635E+4,7.34504004007142539316726790720375687516595884288575E+1,4.09422951978039599197662523261209072242893790460328E-1,8.18845903956079198395325046522418144485787580920657E-1,2.00000000000000000000000000000000000000000000000000E+0
5000,2,668,True,3,1.88598907130619332227045080653159510683045035849013E+6,1.37051883011346684001556843306085081654774447088388E+3,9.97965254390947455374958677444155005557698527178770E-1,1.99593050878189491074991735488831001111539705435754E+0,2.00000000000000000000000000000000000000000000000000E+0
5000,3,667,True,5,1.25937989379812682971241650667589449163613944795261E+6,1.00509397631509568393817420359975418088373804574069E+3,8.95629299270479317384865856005405530984867218532126E-1,1.79125859854095863476973171201081106196973443706425E+0,2.00000000000000000000000000000000000000000000000000E+0
5000,5,666,True,7,9.22102714606149902911660505415059634853154927714484E+5,8.09498622007010334923826741272362767529027247506054E+2,8.42997843262178645829800506465035830731460496137433E-1,1.68599568652435729165960101293007166146292099227487E+0,2.00000000000000000000000000000000000000000000000000E+0
5000,7,665,True,11,7.03148304400997126536534109140927703977363862069371E+5,5.97075922926794265471423950913317195655605006630417E+2,7.12042787520994773950974695636306758223374457538752E-1,1.42408557504198954790194939127261351644674891507750E+0,2.00000000000000000000000000000000000000000000000000E+0
5000,10,665,True,11,7.03148304400997126536534109140927703977363862069371E+5,5.97075922926794265471423950913317195655605006630417E+2,7.12042787520994773950974695636306758223374457538752E-1,1.42408557504198954790194939127261351644674891507750E+0,2.00000000000000000000000000000000000000000000000000E+0
5000,20,661,True,23,3.67993519009378037916117418278697943657297362023961E+5,3.54310846399993915061163069994552161383988975576969E+2,5.84069277229071036644731481094403560691053438192364E-1,1.16813855445814207328946296218880712138210687638473E+0,2.00000000000000000000000000000000000000000000000000E+0
5000,25,660,True,29,3.25777813847308630132639984394896041347332711115932E+5,2.98005680953802951405719574864029177086264392882163E+2,5.22112139387648864517683787917778210803892587872674E-1,1.04422427877529772903536757583555642160778517574535E+0,2.00000000000000000000000000000000000000000000000000E+0
5000,50,654,False,53,1.98405629422065424528867227920324309229049971474164E+5,1.88588865893725787121862284103880244092098943263283E+2,4.23388496129795861771566361738806588831231740226461E-1,8.46776992259591723543132723477613177662463480452922E-1,2.00000000000000000000000000000000000000000000000000E+0
