n,y,tail_prime_count,theorem_hypothesis_2y_le_sqrt_n,maximizing_prime,B_squared,M,M_over_B,supplied_script_span_over_B,supplied_script_to_theorem_ratio
10000,2,1228,True,3,7.54419592910036527501340915188680625355621525735726E+6,2.74433349709293800910532260183246921020943141344123E+3,9.99149343080128604075085065193276854424069685561623E-1,1.99829868616025720815017013038655370884813937112325E+0,2.00000000000000000000000000000000000000000000000000E+0
10000,3,1227,True,5,5.03273549517687706772882686249083478205785369793739E+6,2.01099267158640841806364878686612145558723889215851E+3,8.96413596270279186546591049403860956399734494393138E-1,1.79282719254055837309318209880772191279946898878628E+0,2.00000000000000000000000000000000000000000000000000E+0
10000,5,1226,True,7,3.68362613083637086546706656240474410676219176887135E+6,1.61997019908854832650020615891644712492287303737690E+3,8.44052096242940850243602725593957264417857282422124E-1,1.68810419248588170048720545118791452883571456484425E+0,2.00000000000000000000000000000000000000000000000000E+0
10000,7,1225,True,11,2.80780754337418271084864983692361710730124667224680E+6,1.19654974112638690148690984540459952061103172011477E+3,7.14080360774094630280991506131476249960786020115407E-1,1.42816072154818926056198301226295249992157204023081E+0,2.00000000000000000000000000000000000000000000000000E+0
10000,10,1225,True,11,2.80780754337418271084864983692361710730124667224680E+6,1.19654974112638690148690984540459952061103172011477E+3,7.14080360774094630280991506131476249960786020115407E-1,1.42816072154818926056198301226295249992157204023081E+0,2.00000000000000000000000000000000000000000000000000E+0
10000,20,1221,True,23,1.46534703272725699807674415560460242827037494588907E+6,7.08621692799987830122326139989104322767977951153938E+2,5.85388516260554021001180296196350780923229838047132E-1,1.17077703252110804200236059239270156184645967609426E+0,2.00000000000000000000000000000000000000000000000000E+0
10000,25,1220,True,29,1.29722483848533146181622876101472467696577887999218E+6,5.97695009822599139825030785744239309975276042221287E+2,5.24773628245432422042848007115615469349158093076223E-1,1.04954725649086484408569601423123093869831618615245E+0,2.00000000000000000000000000000000000000000000000000E+0
10000,50,1214,True,53,7.88338017131810917321277422626529856507937590082361E+5,3.79162877744227635160796802777275017069377875403021E+2,4.27041001991860268477121259989384430148508446438166E-1,8.54082003983720536954242519978768860297016892876332E-1,2.00000000000000000000000000000000000000000000000000E+0
