metric,minimum_n,minimum_value,runner_up_n,runner_up_value,gap
prime_margin,120370,1824.1644264096105844088940986529829638197083376830289376378100630008366569105509,120369,1824.1904847820050716470182559233469239769303265755886522420467153051345920687721,0.02605837239448723812415727036
legendre_lower_bound_margin,131071,0.999988993068356614813649579045292159182032277389388015748016637167805566864181,262143,0.999994496544675375460722740141956225898367212873400530509855716870851345150836,0.000005503476318760647073161096664
address_slack,"120368,120369,120370,120371",57942,,,
capacity_margin_bits,120370,10488366.752701948593350710525838599021888782279328038221642538239178328227042338,120369,10488375.912604645770343740216505556751789819758914869963501730858311731660938281,9.159902697176993029690666958
