n,variance_over_n_squared
50,0.10558484561623833
100,0.11137065932640752
200,0.1128315616426365
500,0.1143125576334303
1000,0.11485212177618963
2000,0.11505429356237171
5000,0.11541327763289279
10000,0.11544768625558857
100000,0.11546927713679392
1000000,0.11546830343704997
