n,prime_count,log_tau_over_n_over_log_n,variance_over_n_squared,share_2,share_3,share_5,share_7,tracked_prime_share_total,effective_dimension
50,15,1.73844992842744151523819922322662012671517572619306E+0,1.05584845616238331806309965786988133266353854007368E-1,3.49318845457321709131821356648668030594888424469760E-1,2.01187031967724931065598915546185968500354239858360E-1,1.37383600095527678736430161226251491707723416859570E-1,9.56340855191595131670199378749534358392349926725630E-2,7.83523563039733832100870371296058926642201073860253E-1,5.10632865599250798632061940112793296214639853454209E+0
100,25,1.75928415882068502982354009457114304130930858020477E+0,1.11370659326407525757465187434545507542677482332011E-1,3.45227842515676441412231261811576775329535048045768E-1,2.16744512084682911374397277238365800919025372827269E-1,1.20943075403913087331620025658674259328911595691700E-1,8.15992218654011182076929269301943193397889940589518E-2,7.64514651869673558325941491638811154917261010623689E-1,5.20079407483584212978828824922218888356440175948573E+0
200,46,1.77779451083904060328236876890201858756986940071115E+0,1.12831561642636506075441454879331926216346409087679E-1,3.47775023200265564853731730109573146315534508089041E-1,2.14005038091507643260992148587244594826257246053564E-1,1.19520630285805209524131406927015685776175703524169E-1,7.60681099061268683547100751358333786891597830015571E-2,7.57368801483705285993565360759666805607127240668330E-1,5.22399495966262491936252029268471412330783705505765E+0
500,95,1.73094784431613876343787828898789295559062094099201E+0,1.14312557633430316493588725756189197884104024386859E-1,3.43276719313719672979062446702043563971246587126919E-1,2.16456189572496663335704358876569167959641818705794E-1,1.18011814722128929764710356076877476839248485636831E-1,7.60542535623976024891135187644073778848923305324594E-2,7.53798977170742868568590680419897586655029222002004E-1,5.29675167734576502081542195004269684462062160478784E+0
1000,168,1.69359250616183016226253284904830309749800493805763E+0,1.14852121776189624564535725259475677078323297317595E-1,3.45124965401353246364170624175178660008265171106689E-1,2.18055971013441656556606845145089221378167015357502E-1,1.17463044964349956429177779585258217070460285242381E-1,7.47958037838297168204246014393410027293588998477339E-2,7.55439785162974576170379850344867101186251371554305E-1,5.25475360281868369976103315060534658136762154044760E+0
2000,303,1.65773887148552611692388494522547472494263867687346E+0,1.15054293562371713323543319114700573504490533644590E-1,3.46252203173638922700160699128150274137369290039101E-1,2.17237460516307296934731257382593710181798991743293E-1,1.17258047656288438159174793035717615998934492272180E-1,7.51196442206053406813327429132064320034148906979922E-2,7.55867355566839998475399492459668032321517664752566E-1,5.24203989843198185092081917962902372036269986735103E+0
5000,669,1.61320867312049051306829811521248246080297853205829E+0,1.15413277632892787333192195806768646254448606439919E-1,3.46352825259790946434863070795475710278108453038871E-1,2.17170568364305030204651338095012246888477429770041E-1,1.16893718334484912455756809582432130304972972826569E-1,7.58853451512240090410529763154477448275735435491215E-2,7.56302457109804898136324194788367832299132399184602E-1,5.23871599937750530847856058327044818962365433717749E+0
10000,1229,1.58380188091880426695024838384204356979821010372892E+0,1.15447686255588565354932636883116611598305008308257E-1,3.46526883839114830828603998616667100686954576141527E-1,2.17540993274078197600574915797804893229235491146400E-1,1.16858934821242363599654010317376965856419733978666E-1,7.58628098897730596580608432949308247872949902159648E-2,7.56789621824208451686893768026779784559904791482557E-1,5.23115894720808745272398972640150690844172386369760E+0
